Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,11/14/2022 7:09,FALSE,Treadmill Running,1.01,109,06:39.5,0,0,166,173,6:36,6:13,--,--,1.47,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,2,0,06:39.5,06:39.5,615,615
Running,11/14/2022 6:19,FALSE,Saginaw Running,7,761,0:45:34,0,0,169,178,6:30,5:53,16,16,1.46,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,8,0,0:45:32,0:45:34,584,600
Running,11/13/2022 8:15,FALSE,Saginaw County Running,13.01,"1,421",1:26:34,0,0,168,188,6:39,5:07,18,18,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,14,0,1:26:32,1:26:37,582,607
Running,11/11/2022 6:31,FALSE,Saginaw Running,8,872,0:54:26,0,0,166,178,6:48,5:18,10,10,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,9,0,0:54:23,0:57:10,591,600
Treadmill Running,11/10/2022 13:01,FALSE,Treadmill Running,0.67,74,05:00.7,0,0,161,172,7:32,6:55,--,--,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:00.7,1,0,0:05:00,06:44.7,--,--
Running,11/7/2022 7:43,FALSE,Saginaw Running,5,551,0:37:07,0,0,166,174,7:25,6:30,3,3,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,6,0,0:37:06,0:37:12,591,600
Running,11/7/2022 6:18,FALSE,Saginaw Running,2,220,0:15:27,0,0,165,176,7:43,7:08,--,--,1.27,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,3,0,0:15:27,0:15:27,591,596
Running,11/6/2022 8:17,FALSE,Bay County Running,15.01,"1,636",1:43:57,0,0,168,180,6:56,5:36,36,36,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,16,0,1:43:54,1:46:04,624,663
Running,11/4/2022 9:35,FALSE,Huron Running,7.01,764,0:49:12,0,0,168,178,7:01,4:45,40,59,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.1,8,0,0:49:11,1:03:35,593,627
Running,11/3/2022 14:40,FALSE,Saginaw Running,5.01,546,0:34:58,0,0,168,239,6:59,5:11,20,20,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,6,0,0:34:57,0:37:39,594,617
